8c17c1259ed0c31bff3ee48ef8a6c4c54469c7769ffbc1c1,2521,"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",['Hezzelin I'],"

The correct answer is: Hezzelin I, Count in Zülpichgau, is Hermann II, Count Palatine of Lotharingia's paternal grandfather."
52150ca076ef6a156239c8fd2cb45983ba9b8cd446312f22,2873,Where was the director of film Requiem For Dominic born?,['Temesvár'],"
The correct answer is Robert Dornhelm was born in Temesvár, Romania."
61fa50e62866fbeeffc9822aa76f8f363578e72c1a7436af,3618,What is the place of birth of Ibrahim Ibn Muhammad's mother?,['Egypt'],"

The correct answer is: Egypt."
4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,2858,"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?","[""Mickey'S Tent Show""]", (1965) Kadamba (1983)
3ec0722ff6e0d8361ed2ab093a992915fe5b1ddb10ee39a9,3977,"Who was born first, Damien Hétu or Matan Cohen?",['Damien Hétu']," Damien Hétu was born first, in 1969."
16a0130f95804e9b0791a89e2d18e46f611c1620891658b8,3470,Do director of film Happy Days (1929 Film) and director of film Hero (1982 Film) share the same nationality?,['no'],"

The correct answer is: Both directors are British."
6e020fda91702d5ab63283c032fc436f3a6b7fd6c568aba7,2951,"Which film has the director who is older than the other, A Hungarian Fairy Tale or The Hero Of My Dreams? ",['The Hero Of My Dreams'],"
The correct answer is: A Hungarian Fairy Tale was directed by Gyula Gazdag, who was born in 1947, while The Hero Of My Dreams was directed by Arthur Maria Rabenalt, who was born in 1927. Therefore, Gyula Gazdag is younger than Arthur Maria Rabenalt."
7a0b2aa530cd3c6c74154e334e96c8aae27f68fa12d65bb1,2258,Are both Flying Fifty-Five and Approaching Midnight from the same country?,['no']," Yes, both Flying Fifty-Five (1924 film) and Approaching Midnight (2013 film) are from the same country, which is the United States."
14387a7ce67635d6f5c75fd29b6d3344758a8be64311ea6e,3648,What is the place of birth of Anne Elizabeth Rector's husband?,['Jersey City'],"
The place of birth of Anne Elizabeth Rector's husband is London, England."
8e33b783534c90d43c07617f4106a5056cb93ba21758b91c,3074,Was Bronisław Dembowski or Carlo Delle Piane born first?,['Bronisław Dembowski'],"
The correct answer is Bronisław Dembowski was born first."
d8cde3372e47344e4aed4fca9f307ea80b7172960d153325,3566,"Which film has the director who was born later, Alludugaru or The Laughing Woman?",['Alludugaru'],"

The correct answer is Alludugaru. Alludugaru is a 1969 Italian film directed by Piero Schivazappa. The Laughing Woman is a 1917 British silent adventure film directed by A. V. Bramble and A. V. Bramble."
